# List distributed by iblocklist.com
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#121) CINS Army:1.202.75.230-1.202.75.230
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#122) CINS Army:1.204.79.41-1.204.79.41
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#123) CINS Army:1.207.245.29-1.207.245.29
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#124) CINS Army:1.207.63.25-1.207.63.25
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#125) CINS Army:1.215.116.138-1.215.116.138
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#126) CINS Army:1.226.79.211-1.226.79.211
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#127) CINS Army:1.231.200.124-1.231.200.124
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#128) CINS Army:1.232.94.152-1.232.94.152
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#129) CINS Army:1.234.62.236-1.234.62.236
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#130) CINS Army:1.236.10.101-1.236.10.101
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#131) CINS Army:1.24.189.158-1.24.189.158
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#132) CINS Army:1.24.37.210-1.24.37.210
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#133) CINS Army:1.245.37.50-1.245.37.50
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#134) CINS Army:1.246.113.52-1.246.113.52
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#135) CINS Army:1.246.222.98-1.246.222.98
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#136) CINS Army:1.246.223.126-1.246.223.126
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#137) CINS Army:1.25.19.203-1.25.19.203
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#138) CINS Army:1.25.19.218-1.25.19.218
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#139) CINS Army:1.253.4.237-1.253.4.237
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#140) CINS Army:1.30.71.50-1.30.71.50
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#141) CINS Army:1.34.1.31-1.34.1.31
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#142) CINS Army:1.34.196.211-1.34.196.211
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#143) CINS Army:1.34.218.188-1.34.218.188
